,ENTRPRS,PRDUCT,REGIST_DT,STTEMNT_NO
68,(주)쎌바이오텍,12종 혼합유산균2,20150522,20040017017916
69,(주)쎌바이오텍,12종 혼합유산균2011,20150522,20040017017893
70,(주)쎌바이오텍,12종 혼합유산균3,20150522,20040017017917
71,(주)메디오젠,12종알파혼합유산균,20150522,2004002002988
72,(주)메디오젠,12종알파혼합유산균-10,20150522,20040020029140
73,(주)메디오젠,12종알파혼합유산균-1000,20150522,20040020029142
74,(주)메디오젠,12종알파혼합유산균-2000,20170622,20040020029215
75,(주)메디오젠,12종알파혼합유산균-L2,20150522,20040020029141
76,(주)메디오젠,12종지락유산균,20181112,20040020029278
77,(주)메디오젠,12종혼합유산균,20150522,2004002002982
78,(주)씨티씨바이오,12종혼합유산균-알에스 100비(12종혼합유산균-RS 100B),20180920,20040017059133
79,(주)씨티씨바이오,12종혼합유산균-알에스 200비(12종혼합유산균-RS 200B),20181122,20040017059145
80,주식회사 락토메이슨,13종 혼합유산균,20170203,20100016005206
81,네이처퓨어코리아(주),15종 프로바이오틱스 장용 유산균 캡슐,20150618,20100019004434
82,(주)메디오젠,15종알파혼합유산균-1000,20150522,20040020029139
83,(주)메디오젠,15종알파혼합유산균-2000,20180817,20040020029254
84,네이처퓨어코리아(주),1614 리얼 멀티비타민&미네랄,20181102,20100019004834
85,주식회사 락토메이슨,16종 혼합유산균 2000,20170823,20100016005224
86,(주)메디오젠,16종맘스유산균,20181025,20040020029273
87,(주)메디오젠,16종알파혼합유산균-2000,20150522,20040020029159
88,(주)메디오젠,16종인생유산균,20181017,20040020029269
89,(주)메디오젠,16종키즈유산균,20181025,20040020029272
90,(주)메디오젠,16종패밀리유산균,20181025,20040020029271
91,(주)씨티씨바이오,17종 혼합유산균,20180918,20040017059129
92,주식회사 락토메이슨,17종 혼합유산균 1000억,20170407,20100016005210
93,주식회사 락토메이슨,17종 혼합유산균 2000억,20180409,20100016005237
94,주식회사 락토메이슨,17종 혼합유산균 3000억,20180615,20100016005242
95,(주)메디오젠,17종알파혼합유산균-10,20150522,20040020029157
96,(주)메디오젠,17종알파혼합유산균-1000,20150522,20040020029155
97,(주)메디오젠,17종알파혼합유산균-2000,20150522,20040020029151
98,(주)씨티씨바이오,17종혼합유산균-알에스 200비(17종혼합유산균-RS 200B),20180920,20040017059134
99,주식회사 락토메이슨,19종 프로바이오틱스-1000,20161108,20100016005202
100,주식회사 락토메이슨,19종 프로바이오틱스-2000,20170724,20100016005223
101,(주)메디오젠,19종혼합유산균-10,20150522,20040020029158
102,(주)메디오젠,19종혼합유산균-1000,20150522,20040020029156
103,(주)메디오젠,19종혼합유산균-2000,20150522,20040020029153
104,(주)메디오젠,19종혼합유산균-P,20151102,20040020029177
105,(주)씨티씨바이오,19종혼합유산균-RS 200B,20151207,2004001705986
106,(주)씨티씨바이오,19종혼합유산균-알에스디(RSD),20161115,2004001705995
107,(주)메디오젠,19종혼합유산균DS,20171010,20040020029217
108,(주)유유헬스케어,2 포 다이어트,20170928,20040015107749
109,고려인삼연구(주),2000days Korean Red Ginseng Extract Gold(전량수출용),20170705,2004001703872
110,(주)메디바이오랩,2018프로바이오틱스캡슐,20171219,201727820688
111,(주)뉴트리바이오텍,2090 파워루테인,20150522,20070017035536
112,주식회사 노바렉스,2090파워루테인,20150522,20040020008865
113,(주)한국씨엔에스팜,24 나이트 다이어트,20150522,20040020007652
114,(주)한국씨엔에스팜,24 다이어트 나이트,20160425,200400200071636
115,(주)한국씨엔에스팜,24 다이어트 데이,20160512,200400200071647
116,네이처퓨어코리아(주),24와일드다이어트,20150609,20100019004431
117,엠에스바이오텍(주),24초,20151211,20040020020446
118,(주)비오팜,28탁,20161221,20040017021647
119,(주)비오팜,28탁티(T),20161221,20040017021648
120,(주)레인보우바이오테크,2종 혼합유산균-11,20150522,2009001504727
121,(주)서흥,3-스텝 활성 유산균,20150522,200400200061051
122,코스맥스바이오(주),3-콤보,20150522,200400200021213
123,주식회사 네추럴웨이,333 프로그램 홍삼정차,20150522,2004001510459
124,개성인삼농협,333프로그램 홍삼정골드,20160426,2004001511964
125,(주)휴럼,333홍삼정,20150522,2004002002510
126,비씨엘바이오제약(주),35베리삼정프리미엄(전량수출용),20170313,20040020041228
127,비씨엘바이오제약(주),35베리삼환프리미엄(전량수출용),20170414,20040020041232
128,(주)양생당,36.5 다이어트,20150522,2004002004334
129,콜마비앤에이치(주)푸디팜사업부문,365 골드라이프 프로바이오틱스,20171027,200600200031187
130,주식회사 바이오에비뉴,365 눈 건강 루테인,20170131,20040017016288
131,(주)한국씨엔에스팜,365 눈 건강 루테인,20160902,200400200071695
132,극동에치팜(주),365 츄어블 비타민C 500 세가지맛,20150522,2004002006850
133,(주)남양 F&B,365 츄어블 아이 비타민,20150522,2008002000528
134,광동제약주식회사,365mc A.O.S. 프로테인 업그레이드,20150522,20040017010131
135,주식회사 노바렉스,365mc엠씨 다이어트 데이,20150902,200400200081521
136,코스맥스바이오(주),365mc엠씨 다이어트 컨트롤,20151109,200400200021725
137,주식회사 노바렉스,365mc엠씨 다이어트 핫슬림,20151218,200400200081550
138,동서바이오팜(주),365뉴트리션글루코사민,20150522,20040017025224
139,동서바이오팜(주),365뉴트리션멀티비타민앤미네랄,20150522,20040017025226
140,동서바이오팜(주),365뉴트리션산호칼슘,20150522,20040017025225
141,동서바이오팜(주),365뉴트리션츄어블아이언,20150522,20040017025223
142,극동에치팜(주),365데일리멀티비타민앤미네랄프라임,20150522,2004002006857
143,(주)뉴트리바이오텍,365리얼다이어트,20150522,20070017035647
144,극동에치팜(주),365보라지오일,20150522,2004002006860
145,(주)엄마사랑,365비타민바,20150522,200900200033
146,(주)남양 F&B,365츄어블멀티비타민&미네랄,20150522,2008002000529
147,(주)남양 F&B,365츄어블밀키칼슘,20150522,2008002000531
148,극동에치팜(주),365츄어블비타민C500블루베리맛,20150522,2004002006855
149,극동에치팜(주),365츄어블칼슘위드비타민D,20150522,2004002006877
150,(주)다스코바이오,38 꾸지뽕,20150921,2012001701033
151,주식회사 락토메이슨,3종 혼합유산균,20181023,20100016005247
152,(주)레인보우바이오테크,3종 혼합유산균 엠1,20150522,2009001504710
153,(주)메디오젠,3종혼합유산균,20150522,2004002002972
154,(주)메디오젠,3종혼합유산균디(D),20181005,20040020029267
155,(주)쎌바이오텍,4 Premixture,20170104,20040017017972
156,(주)한국씨엔에스팜,44 골드,20180220,200400200071916
157,(주)한국씨엔에스팜,44 그린,20170516,200400200071801
158,(주)한국씨엔에스팜,44 그린메이트,20180828,200400200072015
159,(주)한국씨엔에스팜,44 레드,20170518,200400200071803
160,(주)한국씨엔에스팜,44 브라운,20171113,200400200071882
161,(주)한국씨엔에스팜,44 블랙,20170117,200400200071749
162,(주)한국씨엔에스팜,44 옐로우,20180402,200400200071932
163,대동고려삼(주),4년근고려흑삼농축액,20161214,20040020031165
164,대동고려삼(주),4년근발효홍삼농축액11,20160111,20040020031114
165,대동고려삼(주),4년근발효홍삼농축액7,20160111,20040020031116
166,대동고려삼(주),4년근발효홍삼농축액분말11,20160203,20040020031123
167,대동고려삼(주),4년근발효홍삼농축액분말13,20160203,20040020031122
168,대동고려삼(주),4년근발효홍삼농축액분말18,20160203,20040020031129
169,대동고려삼(주),4년근발효홍삼농축액분말6,20160203,20040020031124
170,대동고려삼(주),4년근인삼농축액15,20150522,2004002003162
171,대동고려삼(주),4년근홍삼농축액11,20160725,20040020031151
172,대동고려삼(주),4년근홍삼농축액15,20150522,2004002003158
173,대동고려삼(주),4년근홍삼농축액23,20170717,20040020031200
174,대동고려삼(주),4년근홍삼농축액분말18,20160202,20040020031119
175,대동고려삼(주),4년근홍삼농축액분말21,20170309,20040020031177
176,대동고려삼(주),4년근홍삼농축액분말34,20160615,20040020031146
177,대동고려삼(주),4년근홍삼농축액플러스,20161130,20040020031161
178,종근당건강(주),4년근홍삼정,20150522,20040020016489
179,대동고려삼(주),4년근흑삼농축액12,20170724,20040020031203
180,(주)메디오젠,4종복합유산균,20150522,2004002002999
181,(주)메디오젠,4종이지맘유산균,20180917,20040020029258
182,(주)메디오젠,4종혼합유산균,20150522,2004002002960
183,(주)씨티씨바이오,4종혼합유산균-10비(4종혼합유산균-10B),20180807,20040017059125
184,(주)서흥,50+멀티비타민미네랄,20150522,20040020006895
185,(주)서흥,50+징코+셀렌(50+Gingko+Se),20150522,20040020006938
186,주식회사 락토메이슨,5종 프로바이오틱스 제이더블유(JW),20171220,20100016005234
187,(주)레인보우바이오테크,5종 혼합유산균,20150522,2009001504712
188,(주)레인보우바이오테크,5종 혼합유산균 알비,20150522,2009001504725
189,주식회사 락토메이슨,5종 혼합유산균 에이비에스(ABS),20180914,20100016005246
190,(주)메디오젠,5종라비센퀸유산균,20181112,20040020029282
191,(주)메디오젠,5종유산균에프엔디넷,20181025,20040020029270
192,(주)메디오젠,5종핑크유산균,20180917,20040020029259
193,(주)메디오젠,5종혼합유산균,20150522,2004002002959
194,(주)메디오젠,5종혼합유산균 L2,20150522,20040020029111
195,(주)메디오젠,5종혼합유산균-10,20150522,20040020029108
196,(주)메디오젠,5종혼합유산균-1000,20150522,20040020029110
197,(주)메디오젠,5종혼합유산균-2000,20180813,20040020029253
198,(주)메디오젠,5종혼합유산균-50,20150522,20040020029109
199,(주)메디오젠,5종혼합유산균-50,20150522,20040020029106
200,(주)씨티씨바이오,5종혼합유산균-BP1,20150522,2004001705940
201,(주)메디오젠,5종혼합유산균분말-S,20150522,2004002002970
202,(주)메디오젠,5종혼합유산균분말S-L2,20150522,20040020029133
203,(주)메디오젠,5종혼합유산균제이(J),20150522,20040020029144
204,(주)한국씨엔에스팜,6 YEARS KOREAN RED GINSENG CAPSULE,20150522,200400200071448
205,에이펙셀(주),6030칼슘마그비타,20160531,201500080211
206,에이펙셀(주),6030칼슘분말(원료),20180104,2015000802116
207,(주)한국씨엔에스팜,606다이어트,20150522,200400200071260
208,(주)대한홍삼진흥공사 금산지점,6Years Red Ginseng JIN AEK JUNG (전량수출용),20181127,2011002007847
209,농업회사법인 (주)삼흥,6년근 강화홍삼정,20150522,2007001702341
210,대동고려삼(주),6년근 고려 건강한 홍삼정,20150522,2004002003140
211,콜마비앤에이치(주)푸디팜사업부문,6년근 고려 홍삼진 데일리 스틱 프리미엄,20171130,200600200031205
212,주식회사 고려인삼제조,6년근 고려홍삼 골드스틱,20181016,201800100717
213,주식회사 유림고려홍삼,6년근 고려홍삼 굿모닝 스틱,20180904,2004002006218
214,태웅식품(주),6년근 고려홍삼 키즈,20150522,20040020003110
215,(주)유니쎌팜,6년근 고려홍삼골드캡슐,20160613,20040020028374
216,주식회사 진산사이언스,6년근 고려홍삼정,20170908,2014002002325
217,주식회사 성윤 에프엔지(F&G),6년근 고려홍삼정 PLUS,20150522,201100200013
218,(주)아리바이오,6년근 고려홍삼정 골드,20150522,2011002009920
219,태웅식품(주),6년근 고려홍삼정 골드,20150522,20040020003163
220,(주)허브큐어,6년근 고려홍삼정 골드 진,20170303,20040015162118
221,(주)힐링푸드,6년근 고려홍삼정 뉴골드스틱,20160511,2009001600125
222,(주)아리바이오,6년근 고려홍삼정 마일드,20150522,2011002009921
223,주식회사 한국삼,6년근 고려홍삼정 원데이스틱,20170705,2009002007920
224,(주)아리바이오,6년근 고려홍삼정 프리미엄,20150522,2011002009931
225,(주)힐링푸드,6년근 고려홍삼정 하루활력 골드스틱,20180713,2009001600131
226,주식회사 동진제약,6년근 고려홍삼정골드,20150522,2004002006045
227,(주)힐링푸드,6년근 고려홍삼정골드 플러스,20151020,2009001600119
228,(주)힐링푸드,6년근 고려홍삼정골드스틱,20150522,2009001600110
229,극동에치팜 주식회사 2공장,6년근 고려홍삼정스틱 골드,20180503,2017288019310
230,농업회사법인 (주)삼흥,6년근 고려홍삼정환골드,20150522,2007001702332
231,일양약품(주),6년근 데일리 홍삼정,20160513,20040017068174
232,(주)파낙스코리아,6년근 발효홍삼 CK(씨케이),20180618,2004001523129
233,주식회사 동진제약,6년근 발효홍삼 천마골드,20180820,2004002006052
234,농업회사법인(주)청정인삼,6년근 홍삼농축액골드,20150522,2006002000110
235,농업회사법인(주)동서웰빙,6년근 홍삼정 골드스틱,20160623,2010001800222
236,극동에치팜 주식회사 2공장,6년근 홍삼정 스마트타임,20180319,201728801939
237,고려홍삼원(주),6년근 홍삼정 판타스틱,20160516,2004001705565
238,콜마비앤에이치(주)푸디팜사업부문,6년근 홍삼정 프리미엄 골드,20160930,200600200031014
239,성신비에스티(주) 2공장,6년근 홍삼정로얄 스틱,20160711,2010002007010
240,(주)힐링푸드,6년근 홍삼정프리미엄,20150522,2009001600112
241,주식회사 동진제약,6년근 흑홍삼정 골드 플러스,20180820,2004002006053
242,태웅식품(주),6년근고려진홍삼정,20150522,20040020003124
243,태웅식품(주),6년근고려홍삼,20150522,20040020003126
244,태웅식품(주),6년근고려홍삼정,20150522,20040020003122
245,(주)힐링푸드,6년근고려홍삼정 프리미엄 스틱,20151028,2009001600122
246,태웅식품(주),6년근고려홍삼정100,20150925,20040020003188
247,(주)건보,6년근고려홍삼정365스틱,20180903,2004001900264
248,대동고려삼(주),6년근고려홍삼정365스틱,20160429,20040020031142
249,(주)건보,6년근고려홍삼정365스틱궁,20180903,2004001900265
250,대동고려삼(주),6년근고려홍삼정365스틱궁,20161110,20040020031158
251,대동고려삼(주),6년근고려홍삼정365스틱명작,20171023,20040020031215
252,대동고려삼(주),6년근고려홍삼정365스틱키즈,20170612,20040020031195
253,(주)건보,6년근고려홍삼정365스틱황,20180903,2004001900266
254,대동고려삼(주),6년근고려홍삼정365스틱황,20161110,20040020031159
255,주식회사 고려인삼제조,6년근고려홍삼정골드,20180716,201800100713
256,(주)유니쎌팜,6년근고려홍삼정골드,20150522,20040020028240
257,주식회사 한국삼,6년근고려홍삼정골드,20161209,2009002007915
258,(주)대한홍삼진흥공사 금산지점,6년근고려홍삼정골드,20171110,2011002007822
259,태웅식품(주),6년근고려홍삼정골드(gold),20150522,20040020003184
260,콜마비앤에이치(주)푸디팜사업부문,6년근고려홍삼정골드스틱,20150522,20060020003693
261,태웅식품(주),6년근고려홍삼정골드스틱,20150522,20040020003185
262,주식회사 한국삼,6년근고려홍삼정골드스틱,20161118,2009002007913
263,(주)힐링푸드,6년근고려홍삼정골드스틱플러스,20160310,2009001600123
264,대동고려삼(주),6년근고려홍삼정골드천,20150709,2004002003191
265,(주)힐링푸드,6년근고려홍삼정골드프리미엄,20171121,2009001600129
266,태웅식품(주),6년근고려홍삼정골드플러스,20150522,20040020003183
267,(주)대한홍삼진흥공사 금산지점,6년근고려홍삼정골드플러스,20171205,2011002007826
268,태웅식품(주),6년근고려홍삼정골드플러스(PLUS),20150609,20040020003186
269,풍기진생영농조합법인,6년근고려홍삼정굿데이스틱,20180131,2007001800176
270,주식회사 고려인삼제조,6년근고려홍삼정로얄,20180716,201800100714
271,주식회사 고려인삼제조,6년근고려홍삼정로얄스틱,20180716,201800100711
272,주식회사 고려인삼제조,6년근고려홍삼정센스틱,20180716,201800100712
273,대동고려삼(주),6년근고려홍삼정스틱,20160421,20040020031139
274,주식회사 진산사이언스,6년근고려홍삼정스틱,20170720,2014002002324
275,대동고려삼(주),6년근고려홍삼정애니타임스틱,20171212,20040020031226
276,농업회사법인 (주)삼흥,6년근고려홍삼정캡슐골드,20150522,2007001702331
277,대동고려삼(주),6년근고려홍삼정파워스틱,20160421,20040020031138
278,대동고려삼(주),6년근고려홍삼정패밀리골드스틱,20160425,20040020031141
279,(주)힐링푸드,6년근고려홍삼정프리미엄,20150522,2009001600111
280,(주)힐링푸드,6년근고려홍삼정프리미엄골드스틱,20160808,2009001600127
281,대동고려삼(주),6년근고려홍삼정활력스틱,20171212,20040020031225
282,(주)대한홍삼진흥공사 금산지점,6년근고려홍삼홍선생,20181127,2011002007846
283,(주)대한홍삼진흥공사 금산지점,6년근고려홍삼홍선생골드,20180727,2011002007833
284,농업회사법인 주식회사 토음,6년근고려홍삼황제정스틱,20160704,201600065981
285,주식회사 한국삼,6년근고려홍삼황제정스틱,20160819,2009002007912
286,주식회사 한국삼,6년근고려홍삼황제홍삼정,20171221,2009002007922
287,대동고려삼(주),6년근고려흑삼365스틱,20170201,20040020031172
288,농업회사법인(주)동서웰빙,6년근금산홍삼정천,20160404,2010001800216
289,대동고려삼(주),6년근데이홍삼정,20160512,20040020031143
290,코스맥스바이오(주),6년근데일리홍삼정골드스틱,20161024,200400200021910
291,주식회사 진산사이언스,6년근명품고려홍삼정,20171110,2014002002329
292,대동고려삼(주),6년근발효홍삼농축액,20180214,20040020031232
293,대동고려삼(주),6년근발효홍삼농축액11,20160111,20040020031113
294,대동고려삼(주),6년근발효홍삼농축액13,20180402,20040020031238
295,대동고려삼(주),6년근발효홍삼농축액7,20160111,20040020031115
296,대동고려삼(주),6년근발효홍삼농축액분말11,20160203,20040020031128
297,대동고려삼(주),6년근발효홍삼농축액분말13,20160203,20040020031127
298,대동고려삼(주),6년근발효홍삼농축액분말18,20160203,20040020031126
299,대동고려삼(주),6년근발효홍삼농축액분말20,20170831,20040020031212
300,대동고려삼(주),6년근발효홍삼농축액분말6,20160203,20040020031121
301,대동고려삼(주),6년근발효홍삼농축액알파,20160126,20040020031118
302,(주)서흥 오창공장,6년근발효홍삼본액,20171103,2013002002474
303,대동고려삼(주),6년근발효홍삼이함유되어있는활기찬홍삼정,20160218,20040020031131
304,대동고려삼(주),6년근인삼농축액15,20150522,2004002003163
305,대동고려삼(주),6년근인삼농축액20,20150522,2004002003168
306,성신비에스티(주) 2공장,6년근참홍삼명작,20161206,2010002007020
307,대동고려삼(주),6년근태극삼농축액20,20150522,2004002003176
308,(주)힐링푸드,6년근프리미엄고려홍삼정골드,20150522,2009001600115
309,주식회사 네추럴웨이,6년근홍삼 공운진,20180119,2004001510489
310,코스맥스바이오(주),6년근홍삼검보眞(진),20160802,200400200021871
311,엠에스바이오텍(주),6년근홍삼농축액,20150522,20040020020209
312,태웅식품(주),6년근홍삼농축액,20150522,20040020003165
313,대동고려삼(주),6년근홍삼농축액,20150907,2004002003196
314,(주)대한홍삼진흥공사 금산지점,6년근홍삼농축액,20171115,2011002007824
315,종근당건강(주),6년근홍삼농축액 7.0,20170207,20040020016587
316,종근당건강(주),6년근홍삼농축액 8.0,20170207,20040020016586
317,대동고려삼(주),6년근홍삼농축액15,20150522,2004002003159
318,(주)대한홍삼진흥공사 금산지점,6년근홍삼농축액5mg,20180220,2011002007831
319,성신비에스티(주) 1공장,6년근홍삼농축액골드,20150522,2004002003219
320,(주)천호엔케어,6년근홍삼농축액분말,20170524,20040016036132
321,대동고려삼(주),6년근홍삼농축액분말11,20160126,20040020031117
322,대동고려삼(주),6년근홍삼농축액분말18,20160203,20040020031125
323,대동고려삼(주),6년근홍삼농축액분말34,20160615,20040020031145
324,대동고려삼(주),6년근홍삼농축액분말6,20160203,20040020031120
325,풍기진생영농조합법인,6년근홍삼스틱힘내삼,20170901,2007001800163
326,한국인삼,6년근홍삼정,20150522,200700190038
327,종근당건강(주),6년근홍삼정,20150522,20040020016490
328,대동고려삼(주),6년근홍삼정,20150522,2004002003170
329,대동고려삼(주),6년근홍삼정100,20150709,2004002003190
330,주식회사 이수바이오,6년근홍삼정골드,20150522,201300171223
331,대동고려삼(주),6년근홍삼정골드스틱,20170804,20040020031204
332,주식회사 이수바이오,6년근홍삼정데일리,20150522,201300171225
333,성신비에스티(주) 2공장,6년근홍삼정데일리로얄스틱,20170407,2010002007028
334,대동고려삼(주),6년근홍삼정데일리원스틱,20170427,20040020031188
335,종근당건강(주),6년근홍삼정스틱진,20150522,20040020016540
336,종근당건강(주),6년근홍삼정업,20161222,20040020016584
337,종근당건강(주),6년근홍삼정캡슐골드,20150522,20040020016539
338,(주)대한홍삼진흥공사 금산지점,6년근홍삼진액정,20181116,2011002007836
339,극동에치팜(주),6년근홍삼파워프리미엄,20160329,20040020068364
340,주식회사 한국삼,6년근황제홍삼정,20161209,2009002007914
341,롯데제과(주)건강사업본부,6년정성홍삼동자,20150522,20040017032123
342,주식회사한미양행,6년정성홍삼캡슐,20150522,20040015083540
343,(주)쎌바이오텍,6종 혼합유산균 1,20150522,20040017017896
344,(주)쎌바이오텍,6종 혼합유산균2011,20150522,20040017017895
345,(주)메디오젠,6종베이비유산균,20181005,20040020029266
346,(주)메디오젠,6종혼합유산균,20150522,2004002002958
347,(주)메디오젠,6종혼합유산균 비알,20180109,20040020029227
348,(주)메디오젠,6종혼합유산균케이,20180525,20040020029242
349,(주)네추럴에프앤피,70 슬림다이어트,20151113,20040020014909
350,주식회사 아람,7030칼슘골드3플러스,20150522,2011001701916
351,에이펙셀(주),7030칼슘마그비타,20160531,201500080213
352,에이펙셀(주),7030칼슘분말(원료),20180104,2015000802115
353,(주)다스코바이오,7030칼슘프리미엄,20150522,2012001701015
354,에이펙셀(주),7030칼슘프리미엄,20171204,201500080219
355,(주)케미메디 한국전통의학연구소 식품사업부,7030칼슘프리미엄,20170214,201500080065
356,(주)다스코바이오,7030칼슘프리미엄츄어블,20150522,2012001701031
357,에이펙셀(주),7030칼슘프리미엄츄어블,20171212,2015000802112
358,(주)케미메디 한국전통의학연구소 식품사업부,7030칼슘프리미엄츄어블,20180320,2015000800610
359,네이처퓨어코리아(주),7gram 퍼펙트슬림 다이어트,20180320,20100019004753
360,주식회사 노바렉스2공장,7가지 비타민을 섭취할 수 있는 오렌지맛 구미,20151201,2006002000848
361,(주)엠앤씨생명과학,7요일의 7색깔 그린,20171019,2013001700312
362,(주)엠앤씨생명과학,7요일의 7색깔 레드,20171019,2013001700311
363,(주)엠앤씨생명과학,7요일의 7색깔 블랙,20171017,201300170039
364,(주)엠앤씨생명과학,7요일의 7색깔 옐로우,20171017,201300170038
365,(주)엠앤씨생명과학,7요일의 7색깔 오린지,20171024,2013001700314
366,(주)엠앤씨생명과학,7요일의 7색깔 퍼플,20171023,2013001700313
367,(주)엠앤씨생명과학,7요일의 7색깔 화이트,20171017,2013001700310
368,엠에스바이오텍(주)제2공장,7일만 클린다이어트,20180629,2014002003216
369,일동바이오사이언스(주),7종 복합코팅유산균,20170412,2014001700294
370,주식회사 락토메이슨,7종 프로바이오틱스 블랜드 비(7 strain probiotic blend B),20150923,20100016005168
371,주식회사 락토메이슨,7종 프로바이오틱스 블랜드 에이(7 strain probiotic blend A),20150923,20100016005169
372,일동바이오사이언스(주),7종 프리미엄 혼합유산균,20171110,20140017002108
373,일동바이오사이언스(주),7종 혼합유산균,20170317,2014001700290
374,(주)쎌바이오텍,7종 혼합유산균 1,20150522,20040017017897
375,(주)레인보우바이오테크,7종 혼합유산균 알비,20150522,2009001504744
376,(주)쎌바이오텍,7종 혼합유산균1011,20160711,20040017017955
377,(주)쎌바이오텍,7종 혼합유산균12211,20150609,20040017017923
378,(주)쎌바이오텍,7종 혼합유산균2011,20150522,20040017017894
379,(주)쎌바이오텍,7종 혼합유산균2011에이,20150522,20040017017908
380,일동바이오사이언스(주),7종 혼합유산균분말V2,20160421,2014001700260
381,(주)메디오젠,7종바이오락유산균,20181115,20040020029283
