,DISTB_PD,ENTRPS,PRDUCT,브랜드명,제품명,이미지링크,REGIST_DT,STTEMNT_NO,SUNGSANG,index
38,제조일로부터24개월,코스맥스엔비티(주),#NAME?,,,,20180605,2.01E+14,"이미, 이취가 없고 고유의 향미가 있는 녹색의 분말",39
39,제조일로부터 24개월,(주)한국씨엔에스팜,#NAME?,,,,20150522,2.00E+13,미황색의 내용물이 함유한 투명의 연질캡슐,40
40,제조일로부터 24개월,(주)한국씨엔에스팜,#NAME?,,,,20190709,2.00E+14,노란색의 내용물을 함유한 투명의 연질캡슐,41
41,제조일로부터 2년.,코스맥스바이오(주),#NAME?,,,,20190510,2.00E+14,백색의 제피정제,42
42,12개월,(주)네추럴에프앤피,#NAME?,,,,20150522,2.00E+13,연한 분홍색의 분말,43
43,제조일로부터   18 개월,(주)메디오젠,#NAME?,,,,20170427,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 보라색의 분말",44
44,제조일로부터 18개월까지,(주)메디오젠 충주공장,#NAME?,,,,20180706,2.02E+12,"이미, 이취가 없고 고유의 향미가 있는 흐린 보라색의 분말",45
45,제조일로부터 18개월,코스맥스바이오(주),#NAME?,,,,20150522,2.00E+14,적갈색의 젤리,46
46,제조일로부터 2년.,코스맥스바이오(주),#NAME?,,,,20160704,2.00E+14,갈색의 내용물을 함유한 투명색의 연질캡슐.,47
47,제조일로부터 24개월,(주)한국씨엔에스팜,#NAME?,,,,20171023,2.00E+14,미황색의 분말,48
48,제조일로부터 18개월.,코스맥스바이오(주),#NAME?,,,,20180817,2.00E+14,적갈색의 젤리,49
49,제조일로부터 24개월까지,(주)한국씨엔에스팜,#NAME?,,,,20150522,2.00E+14,미황색의 장방형 제피정제,50
50,제조일부터 24 개월,네이처퓨어코리아(주),0118 리얼 테아닌 스트레스 클린,,,,20181226,2.01E+13,"점박이가 있는 미백색 원형 츄어블 정제로 이미, 이취가 없다.",51
51,제조일부터 24 개월,네이처퓨어코리아(주),0225 리얼 히알루론산 워터밤,,,,20190116,2.01E+13,"점박이 있는 노란 하얀색 원형 츄어블 정제로 이미, 이취가 없다.",52
52,제조일부터 24 개월,네이처퓨어코리아(주),0920 리얼 밀크씨슬 & 홍경천,,,,20190102,2.01E+13,"흐린 황갈색 장방형 코팅정제로 이미, 이취가 없다.",53
53,제조일로부터24개월,에스케이내추럴팜(주),100세건강 365,,,,20170428,2.00E+13,이미 이취가 없고 고유의 향미가 있는 담갈색의 제피정제,54
54,18개월까지,(주)메디오젠 충주공장,100억 패밀리 프로바이오틱스 유산균,,,,20190813,2.02E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 분말",55
55,제조일로부터 24개월까지,(주)건보,10대를 위한 기억력 업(UP) 홍삼,,,,20190625,2.00E+12,이미·이취가 없는 갈색의 액상제품,56
56,제조일로부터 18개월,엠에스바이오텍(주)제2공장,10억 생유산균 키즈,,,,20191010,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 연한 미색 분말",57
57,제조일로부터 12개월까지,주식회사 락토메이슨,10종 프로바이오틱스 엘엠(LM),,,,20160913,2.01E+13,고유의 색택을 향미를 가지며 이미 이취가 없는 미백색 분말,58
58,제조일로부터 24개월,(주)씨티씨바이오,10종 혼합유산균-200비(200B),,,,20190528,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흰노란색 분말",59
59,제조일로부터 12개월,(주)쎌바이오텍,10종 혼합유산균2011,,,,20150522,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흰노란색의 분말",60
60,제조일로부터 18개월까지,(주)메디오젠,10종라비센궁유산균,,,,20190423,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",61
61,제조일로부터 18개월까지,(주)메디오젠,10종라비센키즈3유산균,,,,20190228,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",62
62,18개월,(주)메디오젠,10종알파혼합유산균,,,,20150522,2.00E+12,유백색의 분말,63
63,제조일로부터 18개월까지,(주)메디오젠,10종알파혼합유산균비(B)-3300,,,,20190822,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",64
64,제조일로부터 18개월까지,(주)메디오젠,10종알파혼합유산균씨(C)-3600,,,,20190828,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",65
65,제조일로부터 18개월까지,(주)메디오젠,10종알파혼합유산균에이(A)-3400,,,,20190822,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",66
66,제조일로부터 18개월까지,(주)메디오젠,10종우먼유산균,,,,20181106,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",67
67,18개월,(주)메디오젠,10종혼합유산균,,,,20150522,2.00E+12,유백색의 분말,68
68,제조일로부터 18개월까지,(주)메디오젠,10종혼합유산균 엘디(LD),,,,20180822,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",69
69,제조일로부터 18개월,(주)메디오젠,10종혼합유산균-G,,,,20150522,2.00E+13,유백색 또는 황색의 분말,70
70,제조일로부터 18개월까지,(주)메디오젠,10종혼합유산균-M,,,,20180806,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황갈색 분말",71
71,제조일로부터 18개월까지,(주)메디오젠,10종혼합유산균-엘(L)2,,,,20190517,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 유백색의 분말",72
72,제조일로부터 18개월까지,(주)메디오젠,10종혼합유산균엔,,,,20180511,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색 또는 황갈색의 분말",73
73,제조일로부터 18개월까지,(주)메디오젠,10종혼합유산균엠피(MP),,,,20181101,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",74
74,제조일로부터 18개월까지,(주)메디오젠,10종혼합유산균제이,,,,20180611,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색 또는 황색의 분말",75
75,제조일로부터 24개월,(주)쎌바이오텍,11 Strain Mixture(전량수출용),,,,20170227,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 백색의 분말을 내용물로 함유한 백색 경질캡슐",76
76,제조일부터 24 개월,네이처퓨어코리아(주),1110 리얼 가르시니아,,,,20181018,2.01E+13,"상아색의 장방형 제피정제로 이미,이취가 없다.",77
77,제조일로부터 2년.,코스맥스바이오(주),11에이엠(AM) 다이어트,,,,20180703,2.00E+14,연한 노란 분홍색의 제피정제,78
78,18개월,(주)메디오젠,11종혼합유산균 아이(I),,,,20151005,2.00E+13,황색~황갈색의 분말,79
79,제조일로부터 2년.,코스맥스바이오(주),11피엠(PM) 톡 라이트,,,,20180703,2.00E+14,회황색의 제피정제,80
80,제조일로부터 24개월까지,극동에치팜(주),125건강 엠에스엠,,,,20150623,2.00E+13,"연한 연두색 장방형 제피정제로 이미, 이취가 없음",81
81,24개월,코스맥스엔비티(주),12점프업,,,,20150522,2.01E+12,갈색의 단일 정제,82
82,제조일로부터 12개월,(주)쎌바이오텍,12종 혼합유산균 1,,,,20150522,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 노란 하얀색의 분말",83
83,24개월,(주)씨티씨바이오,12종 혼합유산균 R,,,,20150917,2.00E+12,"이미, 이취가 없고 고유의 향미가 있는 미백~미황색의 분말",84
84,제조일로부터 12개월,(주)쎌바이오텍,12종 혼합유산균1511,,,,20150611,2.00E+13,,85
85,제조일로부터 12개월,(주)쎌바이오텍,12종 혼합유산균2,,,,20150522,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 노란하얀색의 분말",86
86,제조일로부터 12개월,(주)쎌바이오텍,12종 혼합유산균2011,,,,20150522,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흰노란색의 분말",87
87,제조일로부터 12개월,(주)쎌바이오텍,12종 혼합유산균3,,,,20150522,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흰 노란색의 분말",88
88,제조일로부터 18개월까지,(주)메디오젠,12종락포엘맥스유산균,,,,20190228,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",89
89,제조일로부터 18개월까지,(주)메디오젠,12종멀티생유산균,,,,20190508,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 분말",90
90,18개월,(주)메디오젠,12종알파혼합유산균,,,,20150522,2.00E+12,유백색의 분말,91
91,18개월,(주)메디오젠,12종알파혼합유산균-10,,,,20150522,2.00E+13,백색 또는 유백색의 분말,92
92,18개월,(주)메디오젠,12종알파혼합유산균-1000,,,,20150522,2.00E+13,황색 또는 유백색의 분말,93
93,제조일로부터 18개월까지,(주)메디오젠,12종알파혼합유산균-2000,,,,20170622,2.00E+13,"이미,이취가 없고 고유의 향미가 있는 황색 또는 미황색의 분말",94
94,제조일로부터 18개월까지,(주)메디오젠,12종알파혼합유산균-2500,,,,20190321,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",95
95,18개월,(주)메디오젠,12종알파혼합유산균-L2,,,,20150522,2.00E+13,황색 또는 유백색의 분말,96
96,제조일로부터 18개월까지,(주)메디오젠,12종지락유산균,,,,20181112,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",97
97,18개월,(주)메디오젠,12종프레쉬즈락토유산균,,,,20190201,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",98
98,18개월,(주)메디오젠,12종혼합유산균,,,,20150522,2.00E+12,유백색의 분말,99
99,제조일로부터 24개월,(주)씨티씨바이오,12종혼합유산균-대원성인,,,,20190709,2.00E+13,"이미, 이취없고 고유의 향미가 있는 미황색분말",100
100,제조일로부터 24개월,(주)씨티씨바이오,12종혼합유산균-대원키즈,,,,20190709,2.00E+13,"이미, 이취없고 고유의 향미가 있는 미황색분말",101
101,제조일로부터 24개월,(주)씨티씨바이오,12종혼합유산균-알에스 100비(12종혼합유산균-RS 100B),,,,20180920,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 분말",102
102,제조일로부터 24개월,(주)씨티씨바이오,12종혼합유산균-알에스 200비(12종혼합유산균-RS 200B),,,,20181122,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 분말",103
103,제조일로부터 12개월까지,주식회사 락토메이슨,13종 혼합유산균,,,,20170203,2.01E+13,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,104
104,제조일로부터 18개월까지,(주)메디오젠,13종프로슈퍼케이유산균,,,,20190423,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",105
105,18개월,(주)메디오젠,14종엔피유산균골드,,,,20190208,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",106
106,제조일로부터 18개월,네이처퓨어코리아(주),15종 프로바이오틱스 장용 유산균 캡슐,,,,20150618,2.01E+13,미백색 분말을 함유한 장용성 코팅된 투명한 경질캡슐,107
107,18개월,(주)메디오젠,15종알파혼합유산균-1000,,,,20150522,2.00E+13,황색 또는 유백색의 분말,108
108,제조일로부터 18개월까지,(주)메디오젠,15종알파혼합유산균-2000,,,,20180817,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",109
109,제조일로부터 18개월까지,(주)메디오젠,15종알파혼합유산균-2500,,,,20190321,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",110
110,제조일로부터 18개월까지,(주)메디오젠,15종알파혼합유산균에이(A)-2500,,,,20190712,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",111
111,제조일로부터 18개월까지,(주)메디오젠,15종장건강유산균,,,,20181211,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색 분말",112
112,제조일부터 24 개월,네이처퓨어코리아(주),1614 리얼 멀티비타민&미네랄,,,,20181102,2.01E+13,"연노랑색의 장방형 제피정제로 이미, 이취가 없다.",113
113,제조일로부터 12개월까지,주식회사 락토메이슨,16종 혼합유산균 2000,,,,20170823,2.01E+13,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,114
114,제조일로부터 18개월까지,(주)메디오젠,16종맘스유산균,,,,20181025,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",115
115,18개월,(주)메디오젠,16종알파혼합유산균-2000,,,,20150522,2.00E+13,황색 분말,116
116,제조일로부터 18개월까지,(주)메디오젠,16종엔티에이치(NTH)패밀리신바이오틱스유산균,,,,20190121,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",117
117,제조일로부터 18개월까지,(주)메디오젠,16종인생유산균,,,,20181017,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",118
118,제조일로부터 18개월까지,(주)메디오젠,16종키즈유산균,,,,20181025,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",119
119,제조일로부터 18개월까지,(주)메디오젠,16종통쾌한유산균,,,,20181211,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색 분말",120
120,제조일로부터 18개월까지,(주)메디오젠,16종패밀리유산균,,,,20181025,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말",121
121,제조일로부터 18개월까지,(주)메디오젠,16종혼합유산균디(D),,,,20181214,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색 분말",122
122,제조일로부터 18개월까지,(주)메디오젠,16종혼합유산균로얄,,,,20181227,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색 분말",123
123,제조일로부터 18개월까지,(주)메디오젠,16종혼합유산균제이(J),,,,20181214,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색 분말",124
124,제조일로부터 18개월까지,(주)메디오젠,16종혼합유산균프리미엄,,,,20181227,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색 분말",125
125,제조일로부터 24개월,(주)씨티씨바이오,17종 혼합유산균,,,,20180918,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 분말",126
126,제조일로부터 12개월까지,주식회사 락토메이슨,17종 혼합유산균 1000억,,,,20170407,2.01E+13,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,127
127,제조일로부터 12개월까지,주식회사 락토메이슨,17종 혼합유산균 2000억,,,,20180409,2.01E+13,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,128
128,제조일로부터 12개월까지,주식회사 락토메이슨,17종 혼합유산균 3000억,,,,20180615,2.01E+13,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,129
129,제조일로부터 18개월까지,(주)메디오젠,17종더프로바이오츄유산균,,,,20190321,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",130
130,제조일로부터 18개월까지,(주)메디오젠,17종라비센패밀리유산균,,,,20190423,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",131
131,제조일로부터 18개월까지,(주)메디오젠,17종락피도프로바이오틱스패밀리유산균,,,,20190423,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",132
132,제조일로부터 18개월까지,(주)메디오젠,17종수퍼세븐틴유산균,,,,20190430,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",133
133,18개월,(주)메디오젠,17종알파혼합유산균-10,,,,20150522,2.00E+13,유백색 또는 미황색의 분말,134
134,18개월,(주)메디오젠,17종알파혼합유산균-1000,,,,20150522,2.00E+13,황색 또는 미황색의 분말,135
135,18개월,(주)메디오젠,17종알파혼합유산균-2000,,,,20150522,2.00E+13,황색 또는 황갈색의 분말,136
136,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균-3500,,,,20190924,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",137
137,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균-4450,,,,20190121,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",138
138,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균-엘(L)2,,,,20190725,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 유백색의 분말",139
139,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균디(D),,,,20190812,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",140
140,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균비(B),,,,20190628,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",141
141,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균비(B)-3500,,,,20190828,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",142
142,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균씨(C),,,,20190612,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",143
143,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균에이(A),,,,20190628,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",144
144,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균에이(A)-3300,,,,20190822,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",145
145,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균에이(A)-3400,,,,20190828,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",146
146,제조일로부터 18개월까지,(주)메디오젠,17종알파혼합유산균에이(A)-3500,,,,20190822,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",147
147,제조일로부터 18개월까지,(주)메디오젠,17종프로바이오틱스17유산균,,,,20190517,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",148
148,제조일로부터 24개월,(주)씨티씨바이오,17종혼합유산균-알에스 200비(17종혼합유산균-RS 200B),,,,20180920,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 분말",149
149,제조일로부터 24개월,코스맥스엔비티(주),19g 단백질 다이어트 쉑쉑프로틴 검은콩맛,,,,20190408,2.01E+14,"이미, 이취가 없고 고유의 향미가 있는 밝은 회황색 분말",150
150,제조일로부터 24개월,코스맥스엔비티(주),19g 단백질 다이어트 쉑쉑프로틴 고구마맛,,,,20190408,2.01E+14,"이미, 이취가 없고 고유의 향미가 있는 흰노란색 분말",151
151,제조일로부터 24개월,코스맥스엔비티(주),19g 단백질 다이어트 쉑쉑프로틴 카카오맛,,,,20190408,2.01E+14,"이미, 이취가 없고 없고 고유의 향미가 있는 회갈색의 분말",152
152,제조일로부터 12개월까지,주식회사 락토메이슨,19종 프로바이오틱스-1000,,,,20161108,2.01E+13,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,153
153,제조일로부터 12개월까지,주식회사 락토메이슨,19종 프로바이오틱스-2000,,,,20170724,2.01E+13,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,154
154,제조일로부터 18개월까지,(주)메디오젠,19종더프로바이오유산균,,,,20190319,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",155
155,제조일로부터 18개월까지,(주)메디오젠,19종아임비오레이디유산균,,,,20190318,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말",156
156,18개월,(주)메디오젠,19종혼합유산균-10,,,,20150522,2.00E+13,유백색 또는 백색의 분말,157
157,18개월,(주)메디오젠,19종혼합유산균-1000,,,,20150522,2.00E+13,황색 또는 밝은 회황색의 분말,158
158,18개월,(주)메디오젠,19종혼합유산균-2000,,,,20150522,2.00E+13,황색 또는 황갈색의 분말,159
159,18개월,(주)메디오젠,19종혼합유산균-P,,,,20151102,2.00E+13,황색 또는 황갈색의 분말,160
160,24개월,(주)씨티씨바이오,19종혼합유산균-RS 200B,,,,20151207,2.00E+12,"이미, 이취가 없고 고유한 향미가 있는 미황색 분말",161
161,제조일로부터 24개월,(주)씨티씨바이오,19종혼합유산균-알에스디(RSD),,,,20161115,2.00E+12,"이미, 이취가 없는 미황색 분말",162
162,제조일로부터18개월,(주)메디오젠,19종혼합유산균DS,,,,20171010,2.00E+13,"이미,이취가 없고 고유의 향미가 있는 밝은 회황색",163
163,제조일로부터 24개월,(주)한풍네이처팜,1일 1유산균,,,,20150522,2.01E+12,"이미, 이취가 없고 고유의 향미가 있는 미백색의 분말",164
164,제조일로부터 24개월까지,(주)유유헬스케어,2 포 다이어트,,,,20170928,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 갈색의 내용물을 함유한 녹색의 경질캡슐",165
165,제조일로부터 36개월까지,고려인삼연구(주),2000days Korean Red Ginseng Extract Gold(전량수출용),,,,20170705,2.00E+12,"이미, 이취가 없는 흑갈색의 점조성 액체",166
166,제조일로부터18개월,(주)메디바이오랩,2018프로바이오틱스캡슐,,,,20171219,2.02E+11,"이미, 이취가 없고 고유의 향미가 있는 미황색 내용물을 함유한 투명 경질캡슐.",167
167,24 개월,이앤에스(주),2019프리바이오틱스 프락토올리고당,,,,20190607,2.01E+13,"백색의 분말로 이미, 이취가 없다.",168
168,제조일로부터24개월,코스맥스엔비티(주),2090 파워루테인,,,,20150522,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 주황색의 내용물을 함유한 흑갈색의 연질캡슐",169
169,제조일로부터 2년,주식회사 노바렉스,2090파워루테인,,,,20150522,2.00E+13,주황색의 내용물을 함유한 갈색의 연질 캡슐,170
170,제조일로부터 24개월,(주)한국씨엔에스팜,24 나이트 다이어트,,,,20150522,2.00E+13,연회색의 장방형 제피정제,171
171,제조일로부터 24개월까지,(주)한국씨엔에스팜,24 다이어트 나이트,,,,20160425,2.00E+14,흐린 황갈색의 장방형 제피정제,172
172,제조일로부터 24개월까지,(주)한국씨엔에스팜,24 다이어트 데이,,,,20160512,2.00E+14,미황색의 장방형 제피정제,173
173,제조일로부터 24개월,엠에스바이오텍(주),2455다이어트,,,,20170425,2.00E+13,미황색의 코팅정제,174
174,24개월,네이처퓨어코리아(주),24와일드다이어트,,,,20150609,2.01E+13,"노란색 및 녹색 장방형 코팅 정제로 이미, 이취가 없다.",175
