,DISTB_PD,ENTRPS,브랜드명,제품명,이미지링크,PRDUCT,REGIST_DT,STTEMNT_NO,SUNGSANG,index
1843,제조일로부터 2년,(주)허브큐어,닥터엘리자베스,닥터엘리자베스 간에좋은 밀크씨슬 60정?,http://img.danawa.com/prod_img/500000/567/513/img/9513567_1.jpg?shrink=500:500&_v=20190918163554,간에좋은 밀크씨슬,20171106,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 회황색의 타원형 제피정제.",1844
1947,제조일로부터 2년,주식회사 노바렉스2공장,BRC,강쏘팔메토 업그레이드,http://img.danawa.com/prod_img/500000/998/302/img/6302998_1.jpg?shrink=500:500,강 쏘팔메토 업그레이드,20170221,2.01E+13,진한 적갈색의 내용물을 함유한 갈흑색의 연질캡슐,1948
2042,제조일로부터 2년,(주)허브큐어,지엔엠라이프,지엔엠라이프 GNM자연의품격 건강한 간 밀크씨슬 30정,http://img.danawa.com/prod_img/500000/665/671/img/3671665_1.jpg?shrink=500:500&_v=20181114093905,건강한 간 밀크씨슬,20171207,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 타원형 제피정제",2043
2043,제조일로부터 24개월,주식회사 네추럴웨이,메이플트리,메이플트리 건강한 간 밀크씨슬 30정?,http://img.danawa.com/prod_img/500000/544/647/img/3647544_1.jpg?shrink=500:500&_v=20180919120557,건강한 간 밀크씨슬,20190916,2.00E+13,"이미·이취가 없으며, 고유의 색택을 가지는 코팅정제",2044
3317,제조일로부터 2년,주식회사 노바렉스2공장,SK케미칼,,http://img.danawa.com/prod_img/500000/703/568/img/6568703_1.jpg?shrink=160:160&_v=20181105154724,굿아이 루테인 맥스,20180621,2.01E+13,적색의 내용물을 함유한 흑색의 연질캡슐,3318
3936,24개월,(주)네이처텍,유니베라,유니베라 남양 931 플러스 540캡슐?,http://img.danawa.com/prod_img/500000/108/915/img/4915108_1.jpg?shrink=500:500&_v=20180213150456,남양931 플러스,20150522,2.00E+13,흑갈색의 내용물을 함유한 진초록색의 연질캡슐,3937
3949,24개월,(주)씨스팡,씨스팡,쏘팔메토 남자팔팔,http://img.danawa.com/prod_img/500000/027/507/img/9507027_1.jpg?shrink=160:160&_v=20190918105241,남자팔팔,20190117,2.00E+12,진한 노랑색의 내용물을 함유한 흑색의 연질캡슐,3950
3981,제조일로부터 24개월까지,(주)한국씨엔에스팜,한미약품,,http://img.danawa.com/prod_img/500000/850/637/img/3637850_1.jpg?shrink=160:160&_v=20180820105223,내눈앤,20150522,2.00E+14,적색의 내용물을 함유한 녹색의 연질캡슐,3982
3994,제조일로부터 24개월까지,극동에치팜(주),서울약산신협,,http://img.danawa.com/prod_img/500000/350/376/img/9376350_1.jpg?shrink=160:160&_v=20190916093512,내몸애(愛) 발란스 프리미엄 루테인,20161214,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 주황색 내용물을 함유한 갈색 연질캡슐",3995
4140,제조일로부터 2년,주식회사 노바렉스2공장,CJ제일제당,CJ제일제당 리턴업 노르웨이 오메가-3,http://img.danawa.com/prod_img/500000/224/874/img/8874224_1.jpg?shrink=500:500,노르웨이 오메가-3,20180905,2.01E+13,황색의 내용물을 함유한 투명의 연질캡슐,4141
4193,제조일로부터 2년,코스맥스바이오(주),녹십자웰빙,녹십자웰빙 식물성 오메가3 그린아이,http://img.danawa.com/prod_img/500000/325/494/img/5494325_1.jpg?shrink=500:500,녹십자웰빙식물성오메가3,20180221,2.00E+14,미황색의 유상 내용물을 함유한 투명색의 연질캡슐.,4194
4265,24개월,일양약품(주),일양약품,,http://img.danawa.com/prod_img/500000/039/876/img/1876039_1.jpg?shrink=160:160&_v=20190916141340,누네존루테인,20180122,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 적색의 내용물을 함유한 적갈색의 연질캡슐",4266
4288,제조일로부터 2년,주식회사 노바렉스,대상웰라이프,,http://img.danawa.com/prod_img/500000/566/986/img/6986566_1.jpg?shrink=160:160&_v=20190605100711,눈 밝은 세상,20150522,2.00E+14,적갈색의 내용물을 함유한 주황색의 연질캡슐,4289
4316,제조일로부터 24개월,(주)한국씨엔에스팜,팜스빌,,http://img.danawa.com/prod_img/500000/338/475/img/6475338_1.jpg?shrink=160:160&_v=20190605100146,눈건강365 루테인지아잔틴,20180821,2.00E+14,적색의 내용물을 함유한 적색반투명의 연질캡슐,4317
4317,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,종근당건강,,http://img.danawa.com/prod_img/500000/280/268/img/5268280_1.jpg?shrink=160:160&_v=20181102115255,눈건강N 루테인,20170421,2.01E+14,주황색의 내용물을 함유한 흑색의 연질캡슐,4318
4344,제조일로부터 2년,주식회사 노바렉스2공장,종근당건강,,http://img.danawa.com/prod_img/500000/276/680/img/3680276_1.jpg?shrink=160:160&_v=20181102112420,눈사랑 루테인 에이스ACE,20171226,2.01E+13,진한주황색의 내용물을 함유한 적갈색의 연질캡슐,4345
4363,제조일부터 24개월,(주)서흥,세노비스,,http://img.danawa.com/prod_img/500000/298/908/img/4908298_1.jpg?shrink=160:160&_v=20181122091944,눈에 좋은 루테인+오메가3,20160921,2.00E+14,적색의 점조성 내용물을 함유한 황색 연질캡슐,4364
4365,제조일로부터 24개월,(주)한풍네이처팜,닥터비,,http://img.danawa.com/prod_img/500000/850/284/img/6284850_1.jpg?shrink=160:160&_v=20180928104108,눈에 좋은 루테인오메가3 프리미엄,20180129,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 적색의 내용물을 함유한 적갈색의 연질캡슐",4366
4366,제조일로부터 24개월,엠에스바이오텍(주),네이처스토리,,http://img.danawa.com/prod_img/500000/268/276/img/6276268_1.jpg?shrink=160:160&_v=20190920122744,눈에 좋은 베베키즈 루테인,20180222,2.00E+13,붉은알갱이가 들어있는 연보라색 분말,4367
4377,제조일로부터 2년,주식회사 노바렉스,제이헬스사이언스,,http://img.danawa.com/prod_img/500000/978/292/img/6292978_1.jpg?shrink=160:160&_v=20190605102442,눈에좋은 루테인지아잔틴,20150522,2.00E+14,적갈색의 내용물을 함유한 흑갈색의 연질캡슐,4378
4411,24개월,(주)씨스팡,씨스팡,,http://img.danawa.com/prod_img/500000/266/758/img/3758266_1.jpg?shrink=160:160&_v=20190918103451,눈팔팔 루테인,20150522,2.00E+12,주황색의 내용물을 함유한 갈색의 반투명 연질캡슐,4412
4493,제조일부터 24개월,(주)서흥,유한양행,,http://img.danawa.com/prod_img/500000/270/039/img/6039270_1.jpg?shrink=160:160&_v=20180523101303,뉴오리진 루테인,20180201,2.00E+14,적색의 점조성 내용물을 함유한 암갈색 연질캡슐,4494
4495,2년,(주)유한양행,유한양행,유한양행 뉴오리진 밀크씨슬 60정?,http://img.danawa.com/prod_img/500000/731/039/img/6039731_1.jpg?shrink=500:500&_v=20180604150528,뉴오리진 밀크씨슬,20180220,2.02E+11,점박이를 포함한 연한 갈색의 장방형 코팅,4496
4498,제조일부터 24개월,(주)서흥,유한양행,유한양행 뉴오리진 식물성 오메가3,http://img.danawa.com/prod_img/500000/911/394/img/9394911_1.jpg?shrink=500:500,뉴오리진 식물성오메가3,20181010,2.00E+14,미황색의 유상액을 함유한 암갈색의 장방형 연질캡슐,4499
5608,제조일로부터 24개월까지,(주)한국씨엔에스팜,대웅생명과학,,http://img.danawa.com/prod_img/500000/171/784/img/6784171_1.jpg?shrink=160:160&_v=20181205103744,대웅 루테인오메가3비타민D,20180402,2.00E+14,주황색의 내용물을 함유한 진빨강색 연질캡슐,5609
5678,제조일로부터 24개월,콜마비앤에이치(주)푸디팜사업부문,래오이경제,더힘찬 이팔청춘,http://img.danawa.com/prod_img/500000/717/537/img/7537717_1.jpg?shrink=500:500,더 힘찬 이팔청춘,20180921,2.01E+14,"이미, 이취가 없고 고유의 향미가 있으며 갈색의 내용물이 든 검정색 연질캅셀",5679
5928,제조일로부터 36개월,(주)알피바이오,광동생활건강,,http://img.danawa.com/prod_img/500000/793/786/img/6786793_1.jpg?shrink=160:160&_v=20190117162034,데일리 루테인,20180315,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 적색의 내용물을 함유한 적색의 타원형 연질캡슐",5929
6946,제조일부터 24개월,(주)네추럴에프앤피,에프앤디넷 락피도,에프앤디넷 락피도 밀크씨슬 플러스 60정?,http://img.danawa.com/prod_img/500000/101/535/img/9535101_1.jpg?shrink=500:500&_v=20190920164841,락피도 밀크씨슬 플러스,20181221,2.00E+14,연한 노란색의 제피정제,6947
7089,제조일로부터 24개월,콜마비앤에이치(주)푸디팜사업부문,레스베라,쏘팔메토 전립파워,http://img.danawa.com/prod_img/500000/743/552/img/6552743_1.jpg?shrink=500:500&_v=20181029165216,레스베라 쏘팔메토 전립파워,20180627,2.01E+14,"이미, 이취가 없고 고유의 향미가 있는 갈색의 내용물을 함유한 검정색 연질캡슐",7090
7090,제조일로부터 24개월,콜마비앤에이치(주)푸디팜사업부문,레스베라,해피큐,http://img.danawa.com/prod_img/500000/716/552/img/6552716_1.jpg?shrink=500:500,레스베라 해피큐,20180914,2.01E+14,"이미, 이취가 없고 고유의 향미가 있으며 갈색 내용물을 함유한 검정색 연질캡슐",7091
7283,제조일로부터 24개월,주식회사한미양행,로하비,로하비 프리미엄 밀크씨슬 이엑스 120정,http://img.danawa.com/prod_img/500000/600/363/img/7363600_1.jpg?shrink=500:500&_v=20190304121157,로하비 프리미엄 밀크씨슬 이엑스,20180629,2.00E+14,"이미, 이취가 없고, 고유의 향미가 있는 연노란색의 타원형 정제",7284
7284,24개월,주식회사한미양행,로하비,프리미엄 쏘팔메토 이엑스,http://img.danawa.com/prod_img/500000/081/685/img/3685081_1.jpg?shrink=500:500,로하비 프리미엄 쏘팔메토 이엑스,20190228,2.00E+14,"이미, 이취가 없으며 고유의 향미를 지닌 진노랑색 내용물을 함유한 적갈색의 연질캡슐.",7285
7359,제조일로부터 24개월,코스맥스엔비티(주),대웅생명과학,,http://img.danawa.com/prod_img/500000/443/184/img/4184443_1.jpg?shrink=160:160&_v=20181102114208,루테인 골드,20150522,2.01E+13,진한주황색의 내용물을 함유한 적갈색의 연질캡슐,7360
7369,제조일로부터 24개월,한국바이오팜(주),보뚜슈퍼푸드,,http://img.danawa.com/prod_img/500000/503/619/img/9619503_1.jpg?shrink=160:160&_v=20191002140909,루테인 비타C,20190612,2.00E+13,적갈색 알갱이가 들어있는 연보라색의 분말,7370
7373,24개월,주식회사한미양행,메이플트리,,http://img.danawa.com/prod_img/500000/152/625/img/8625152_1.jpg?shrink=160:160&_v=20190712155003,루테인 아스타잔틴 헤마토코쿠스,20190218,2.00E+14,"이미, 이취가 없고 고유의 향미를 지닌 진한 적갈색의 내용물을 함유한 적갈색의 연질캡슐.",7374
7383,제조일로부터 2년,(주)허브큐어,대웅생명과학,,http://img.danawa.com/prod_img/500000/907/976/img/3976907_1.jpg?shrink=160:160&_v=20180212144906,루테인 플러스,20180425,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 주황색의 내용물을 함유하는 검정색의 연질캡슐",7384
7384,제조일로부터 24개월까지,극동에치팜(주),내츄럴플러스,,http://img.danawa.com/prod_img/500000/131/583/img/6583131_1.jpg?shrink=160:160&_v=20181109154953,루테인 플러스,20151110,2.00E+13,"적색 내용물을 함유한 적갈색 연질캡슐로 이미, 이취가 없음",7385
7389,제조일부터 24개월,(주)서흥,세노비스,,http://img.danawa.com/prod_img/500000/248/402/img/4402248_1.jpg?shrink=160:160&_v=20190805144419,루테인+비타민A,20150720,2.00E+14,적색의 점조성 내용물을 함유한 암갈색 연질캡슐,7390
7395,제조일로부터 24개월,주식회사한미양행,씨너지아이앤티,,http://img.danawa.com/prod_img/500000/195/276/img/6276195_1.jpg?shrink=160:160&_v=20190530111047,루테인12,20171219,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 밝은 적갈색의 내용물을 함유한 적갈색 연질캡슐",7396
7398,제조일로부터 24개월,네이처퓨어코리아(주),솔가,,http://img.danawa.com/prod_img/500000/264/185/img/4185264_1.jpg?shrink=160:160&_v=20180212142940,루테인20,20150522,2.01E+13,적갈색 내용물을 함유한 흑갈색 연질캡슐,7399
7403,2년,(주)일화,녹십자웰빙,,http://img.danawa.com/prod_img/500000/186/124/img/3124186_1.jpg?shrink=160:160&_v=20180604155637,루테인9플러스,20150903,2.00E+13,이미와 이취가 없는 적갈색 oval 모양의 연질캡슐,7404
7546,제조일로부터 24개월까지,(주)한국씨엔에스팜,오리진,오리진 슈퍼 파워 리버칸 60캡슐?,http://img.danawa.com/prod_img/500000/612/205/img/4205612_1.jpg?shrink=500:500&_v=20180213170809,리버칸,20150522,2.00E+14,미황색의 분말을 함유한 담갈색의 경질캡슐,7547
7554,제조일로부터36개월,코스맥스엔비티(주),블랙오닉스 어바틀오브네이쳐,블랙오닉스 어바틀오브네이쳐 밀크씨슬 리버케어 60캡슐?,http://img.danawa.com/prod_img/500000/722/990/img/5990722_1.jpg?shrink=500:500&_v=20180906114727,리버케어 밀크씨슬 Liver care milk thistle(전량수출용),20181122,2.01E+14,"이미, 이취가 없고 고유의 향미가 있는 갈색의 내용물을 함유한 적갈색의 연질캡슐",7555
7570,24개월,(주)에스트라,아모레퍼시픽,아모레퍼시픽 바이탈뷰티 리버프라임 600mg 30캡슐+800mg 30정?,http://img.danawa.com/prod_img/500000/269/210/img/5210269_1.jpg?shrink=500:500&_v=20180213163151,리버프라임,20150522,2.00E+13,"정제 : 이미, 이취가 없고 고유의 향미가 있는 흰노랑의 제피정제 / 연질캡슐 : 이미, 이취가 없고 고유의 향미가 있는 연한황갈색 내용물을 함유한 적갈색의 연질캡슐",7571
7572,제조일로부터 2년,주식회사 노바렉스,지엔씨,지엔씨 리버헬스 포뮬라 60정?,http://img.danawa.com/prod_img/500000/786/666/img/3666786_1.jpg?shrink=500:500&_v=20181123093032,리버헬스 포뮬라,20150522,2.00E+14,황색 장방형의 갈색 제피정제,7573
7628,제조일로부터 2년,주식회사 노바렉스2공장,온푸드,리얼 쏘팔메토+옥타코사놀,http://img.danawa.com/prod_img/500000/624/975/img/7975624_1.jpg?shrink=500:500&_v=20190521163931,리얼 쏘팔메토+옥타코사놀,20180830,2.01E+13,진한 노랑색의 내용물을 함유한 흑색의 연질캡슐,7629
7684,제조일로부터 24개월,주식회사한미양행,데일리원,리얼 쏘팔메토,http://img.danawa.com/prod_img/500000/952/306/img/6306952_1.jpg?shrink=500:500,리얼쏘팔메토,20180119,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 진노랑색의 내용물을 함유한 흑색 연질캡슐",7685
7788,제조일로부터 2년,코스맥스바이오(주),LG생활건강,LG생활건강 리튠 rTG 오메가3,http://img.danawa.com/prod_img/500000/788/302/img/5302788_1.jpg?shrink=500:500,리튠rTG오메가3,20150803,2.00E+14,미황색 유상 내용물을 함유한 회녹색의 장용성 연질캡슐.,7789
7985,제조일로부터 2년,주식회사 노바렉스2공장,일동제약,마이니 남성활력케어S,http://img.danawa.com/prod_img/500000/054/925/img/6925054_1.jpg?shrink=500:500,마이니 남성활력케어S,20170829,2.01E+13,녹갈색의 내용물을 함유한 흑색의 연질캡슐,7986
8189,제조일로부터 2년,주식회사 노바렉스,매그넘코리아,매그넘17 쏘팔메토 콤플렉스,http://img.danawa.com/prod_img/500000/072/741/img/3741072_1.jpg?shrink=500:500,매그넘 17,20150522,2.00E+14,암갈색의 내용물을 함유한 흑갈색의 연질캡슐,8190
8301,제조일로부터 24개월,주식회사한미양행,일양약품,맨파워88,http://img.danawa.com/prod_img/500000/764/785/img/6785764_1.jpg?shrink=160:160&_v=20190220151241,맨파워88,20180716,2.00E+14,"이미, 이취가 없고 고유의 향미가 있는 밝은노랑주황색 내용물을 함유한 적갈색의 연질캡슐",8302
8875,제조일로부터 24개월,주식회사 노바렉스2공장,일동생활건강,맨파워 쏘팔메토,http://img.danawa.com/prod_img/500000/487/798/img/3798487_1.jpg?shrink=500:500,메디라이프 맨파워 쏘팔메토 (Medilife Manpower Sawpalmetto),20151228,2.01E+12,녹갈색의 내용물을 함유한 갈흑색의 연질캡슐,8876
9279,제조일로부터 2년.,코스맥스바이오(주),일양약품,미스터 트리플 M,http://img.danawa.com/prod_img/500000/252/588/img/5588252_1.jpg?shrink=500:500,미스터트리플,20170208,2.00E+14,연한 황갈색의 내용물을 함유한 암갈색의 연질캡슐,9280
9365,3일,풀무원건강생활(주),캘리포니아골드뉴트리션,캘리포니아골드뉴트리션 밀크시슬 30캡슐?,http://img.danawa.com/prod_img/500000/238/247/img/5247238_1.jpg?shrink=500:500&_v=20181129113038,밀크시슬,20150522,2.00E+12,"명일엽 녹즙 고유의 짙은 녹색의 색상과 이미, 이취가 없는 비가열 액상",9366
9368,제조일로부터 24개월까지,주식회사한미양행,지엔씨,지엔씨 밀크씨슬 120정 (1개),http://img.danawa.com/prod_img/500000/300/189/img/5189300_1.jpg?shrink=500:500&_v=20180326092241,밀크씨슬,20150522,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황갈색의 내용물을 함유한 적갈색의 연질캡슐",9369
9369,24개월,코스맥스엔비티(주),스완슨,스완슨 밀크씨슬 100캡슐,http://img.danawa.com/prod_img/500000/304/521/img/6521304_1.jpg?shrink=500:500&_v=20181016154922,밀크씨슬,20190612,2.01E+14,"이미, 이취가 없고 고유의 향미가 있는 노란색 분말을 함유한 투명한 경질캡슐",9370
9370,제조일로부터 24개월,(주)알피바이오 제2공장,비타핏,비타핏 밀크씨슬 250캡슐,http://img.danawa.com/prod_img/500000/499/355/img/6355499_1.jpg?shrink=500:500&_v=20180801160451,밀크씨슬,20190402,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 연노란색의 제피정제",9371
9371,제조일로부터 24개월,(주)비오팜,고헬씨,고헬씨 밀크씨슬 60캡슐?,http://img.danawa.com/prod_img/500000/020/780/img/5780020_1.jpg?shrink=500:500&_v=20180103180313,밀크씨슬,20190318,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 제피정제",9372
9372,제조일로부터 2년,포항바이오파크,블랙모어스,블랙모어스 밀크씨슬 42정?,http://img.danawa.com/prod_img/500000/688/368/img/7368688_1.jpg?shrink=500:500&_v=20190304161257,밀크씨슬,20190130,2.01E+12,"이미, 이취가 없고 고유의 향미가 있는 연한갈색의 정제",9373
9380,제조일로부터 24개월.,주)팜크로스,녹십자웰빙,녹십자웰빙 밀크씨슬 골드 플러스 30정?,http://img.danawa.com/prod_img/500000/162/674/img/5674162_1.jpg?shrink=500:500&_v=20180410093546,밀크씨슬 골드 플러스,20170630,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황갈색의 코팅된 타원형정제.",9381
9382,제조일로부터 24개월까지,엠에스바이오텍(주),비타민마을,비타민마을 아낌없이주는마을 밀크씨슬 씨플러스 30정,http://img.danawa.com/prod_img/500000/159/228/img/7228159_1.jpg?shrink=500:500&_v=20190213134625,밀크씨슬 씨플러스,20160905,2.00E+13,황색의 장방형 코팅정제,9383
9388,제조일로부터 2년,(주)허브큐어,세노비스,세노비스 밀크씨슬 플러스 60캡슐?,http://img.danawa.com/prod_img/500000/103/317/img/5317103_1.jpg?shrink=500:500&_v=20170714120346,밀크씨슬 플러스,20180424,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 미황색의 타원형 제피정제",9389
9389,제조일로부터 24개월까지,극동에치팜(주),내츄럴플러스,내츄럴플러스 밀크씨슬 플러스 60캡슐?,http://img.danawa.com/prod_img/500000/342/101/img/4101342_1.jpg?shrink=500:500&_v=20180529110915,밀크씨슬 플러스,20150522,2.00E+13,황색 장방형 제피정제로 이미. 이취가 없음,9390
10162,제조일로부터 2년,주식회사 노바렉스,헬스밸런스,베스처 밀크씨슬 골드 90정,http://img.danawa.com/prod_img/500000/608/209/img/4209608_1.jpg?shrink=500:500&_v=20181226171221,베스처 밀크씨슬 골드,20151217,2.00E+14,황갈색의 점박이 성상을 가진 연한 노랑의 제피정제,10163
10166,제조일로부터 2년,주식회사 노바렉스2공장,헬스밸런스,,http://img.danawa.com/prod_img/500000/869/944/img/6944869_1.jpg?shrink=160:160&_v=20181227155821,베스처 프리미엄 루테인 맥스,20160510,2.01E+12,진주황색의 내용물을 함유한 갈흑색의 연질캡슐,10167
10661,제조일로부터 18개월,풀무원건강생활(주),올가홀푸드,,http://img.danawa.com/prod_img/500000/271/877/img/5877271_1.jpg?shrink=160:160&_v=20180403142303,브라이트아이,20150522,2.00E+12,"이미, 이취가 없고 고유의 향미가 있는 적갈색의 내용물을 함유한 투명한 연질캡슐",10662
10712,제조일로부터 24개월,(주)알피바이오,브리오,쏘팔메토 옥타코사놀,http://img.danawa.com/prod_img/500000/807/982/img/5982807_1.jpg?shrink=500:500,브리오 쏘팔메토 옥타코사놀 맥스,20181212,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란 주황색의 내용물을 함유한 진한 적색의 연질캡슐",10713
10966,24개월,(주)네추럴에프앤피,넥스트BT,,http://img.danawa.com/prod_img/500000/300/475/img/6475300_1.jpg?shrink=160:160&_v=20190328143723,비젼업 루테인,20170413,2.00E+13,주황색 내용물을 함유한 어두운 갈색의 연질캡슐,10967
12468,24개월,(주)오투바이오,종근당,종근당 닥터굿스 수용성비타민 앤 밀크씨슬 60정?,http://img.danawa.com/prod_img/500000/291/660/img/9660291_1.jpg?shrink=500:500&_v=20191014115442,수용성비타민 앤 밀크씨슬,20160510,2.01E+12,"이미, 이취가 없고 고유의 향미가 있는갈색 코팅정제",12469
12559,제조일로부터 24개월까지,(주)한국씨엔에스팜,종근당건강,,http://img.danawa.com/prod_img/500000/645/147/img/3147645_1.jpg?shrink=160:160&_v=20180323110604,슈퍼 루테인 비젼,20160613,2.00E+14,붉은색의 내용물을 함유한 흑갈색의 연질캡슐,12560
12563,제조일로부터 24개월,네이처퓨어코리아(주),종근당건강,종근당건강 슈퍼 밀크씨슬 칸 60정?,http://img.danawa.com/prod_img/500000/114/919/img/5919114_1.jpg?shrink=500:500&_v=20180410085842,슈퍼 밀크씨슬,20160707,2.01E+13,"미황색 제피정제로 이미, 이취가 없다.미황색 제피정제",12564
13286,제조일로부터 24개월,(주)한국씨엔에스팜,종근당건강,시원하다 전립쎈 프라임 30캡슐,http://img.danawa.com/prod_img/500000/377/574/img/5574377_1.jpg?shrink=500:500&_v=20180213133650,시원하다 전립쎈 프라임,20170214,2.00E+14,황갈색의 내용물을 함유한 갈색투명의 연질캡슐,13287
13457,제조일로부터 2년,주식회사 노바렉스2공장,나우푸드,나우푸드 실리마린 120캡슐,http://img.danawa.com/prod_img/500000/985/218/img/4218985_1.jpg?shrink=500:500&_v=20180213165921,실리마린,20180515,2.01E+13,갈색의 내용물을 함유한 흑색의 연질캡슐,13458
13608,36개월,(주)알피바이오,시카고헬스,데일리 쏘팔메토 파워,http://img.danawa.com/prod_img/500000/257/885/img/5885257_1.jpg?shrink=500:500,쏘팔메토 파워,20150522,2.00E+13,황색의 내용물을 함유한 갈색의 타원형 연질캡슐,13609
13620,24개월,종근당건강(주),종근당건강,쏘팔메토 골드업,http://img.danawa.com/prod_img/500000/212/930/img/1930212_1.jpg?shrink=160:160&_v=20180604163403,쏘팔메토골드업,20150522,2.00E+13,황갈색의 내용물을 함유한 암갈색의 연질캅셀,13621
13966,제조일로부터 36개월,(주)서흥,알리코제약,,http://img.danawa.com/prod_img/500000/378/835/img/835378_1.jpg?shrink=160:160&_v=20181102114250,아이락루테인,20150522,2.00E+13,적색의 점조성 내용물을 함유한 타원형의 암갈색 연질캅셀제,13967
14054,제조일로부터 24개월,안국건강(주),안국건강,,http://img.danawa.com/prod_img/500000/908/150/img/3150908_1.jpg?shrink=160:160&_v=20180604144949,아이세이프 루테인,20150522,2.01E+12,"이미, 이취가 없고 고유의 향미가 있는 적색의 내용물을 함유한 적갈색의 연질캡슐",14055
