,index,REGIST_DT,PRDUCT,PRSRV_PD,MAIN_FNCTN,SUNGSANG,INTAKE_HINT1,SRV_USE,STTEMNT_NO,DISTB_PD,BASE_STANDARD,ENTRPS,STDR_STND
10,11,20150522,이지이에프비타민C(EGF VITAMIN C),직사광선을 피하고 서늘한 곳에 보관,[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요,미황색의 분말을 함유한 미황색의 경질캅셀 제품,특정 또는 특이 체질 등 알러지 체질의 경우 성분을 확인하신 후 섭취여부를  결정하여야 함,"1일3회, 1회 2캅셀씩 물과함께 섭취",20040020071141,24개월,"- 성    상 : 미황색의 내용물을 함유한 미황색의 경질캅셀 제품으로 이미,이취가 없어야 함
 - 비타민C  : 표시량(36.0mg/800mg)의 80~150%
 - 붕 해 도 : 20 분이내
 - 대장균군 : 음성",에프엔바이오(주),
11,12,20170622,중원프로바이오틱스 유산균,실온에서 18개월,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,파인애플 고유향미가 있으며 연한 회백색을 띤 분말임,,1일 섭취량 :1포(2g) 섭취.,201600122305,18개월,"성상:고유의 향미를 가지는 회백색의 분말
프로바이오틱스 수  표시량: 300.000.000CFU/2,000mg
대장균 군 : 음성",(주)중원바이오팜,
12,13,20150522,파워 오메가-3,직사광선을 피하고 서늘한 곳에 보관하십시요.,①혈중 중성지질 개선②혈행개선,미황색의 내용물을 함유한 투명의 연질캅셀,"1)특이체질 등 알러지 체질의 경우 성분을 확인하신 후 섭취하십시오. 
2)섭취시 캅셀이 기도에 걸릴 수 있으니 유의하시기 바랍니다.","1일 1회 , 1회 1캅셀씩을 물과 함께 섭취하십시오.",2008002000572,제조일로부터24개월,"1)성상:미황색의 내용물을 함유한 투명의 연질캅셀
2)EPA와DHA합 : 표시량(550mg/1000mg)의 80~120%
3)납(mg/kg):3.0이하
4)카드뮴(mg/kg):1.0이하
5)총수은(mg/kg):0.5이하
6)대장균군:음성
7)붕해시험 : 적합",(주)네추럴에프앤피 음성공장,
13,14,20150522,홍삼파워멀티비타민앤미네랄,직사광선을 피하고 서늘한 곳에 보관,"①면역력 증진②피로회복③혈소판 응집 억제를 통한 혈액흐름에 도움
①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요
①탄수화물과 에너지 대사에 필요
①체내 에너지 생성에 필요
①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①칼슘과 인이 흡수되고 이용되는데 필요 ②뼈의 형성과 유지에 필요
①체내 에너지 생성에 필요
①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
①정상적인 면역기능에 필요② 정상적인 세포분열에 필요",연갈색의 장방형 정제제품,"알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.
제품을 개봉할 때 혹 포장재에 의해 상처를 입을 수 있으니 주의하십시오.","1일2회, 1회에 1정씩 물과 함께 섭취",2004002007174,2년,"- 진세노이드 Rg1과 Rb1의 합 : 표시량(1.5mg/800mg)의 80~150%       
- 비타민A  : 표시량(109.0560ug/800mg)의 80~150%        
- 비타민C  : 표시량(15.3000mg/800mg)의 80~150%  
- 비타민B1 : 표시량(2.1060mg/800mg)의 80~180% 
- 비타민B2 : 표시량(2.7000mg/800mg)의 80~180% 
- 비타민B6 : 표시량(2.2149mg/800mg)의 80~150% 
- 엽    산 : 표시량(64ug/800mg)의 80~150%
- 판토텐산 : 표시량(2.484mg/800mg)의 80~180%   
- 비타민D3 : 표시량(1.2ug/800mg)의 80~180%
- 나이아신 : 표시량(2.6730mg/800mg)의 80~150%
- 아    연 : 표시량(3.6mg/800mg)의 80~150%
- 셀    렌 : 표시량(7.6ug/800mg)의 80~150%
- 붕 해 도 : 60분 이내(제피) 
- 대장균군 : 음성",에프엔바이오(주),
14,15,20150522,홍삼프리미엄유산균,제조일로부터  18개월,"[프로바이오틱스 제품]①유익한 유산균 증식②유해균 억제 또는 배변활동 원활
[홍삼제품]①면역력 증진②피로회복③혈소판 응집 억제를 통한 혈액흐름에 도움④기억력 개선에 도움을 줄 수 있음⑤항산화에 도움을 줄 수 있음","고유의 색택을 지니며 이미,이취가 없다.","[홍삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
① 알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.
② 제품을 개봉할 때 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의 하십시오.","1일 2회, 1회에 1포씩 섭취",20040020020281,제조일로부터 18개월,"성상 : 고유의 색택을 지니며 이미,이취가 없다.
   진세노사이드Rg1+Rb1+Rg3의 합 : 표시량(3.0mg/6g)의 80%이상이어야 한다.
   프로바이오틱스 : 200,000,000cfu/6g이상
   대장균군 : 음성",엠에스바이오텍(주),
15,16,20171013,황작 황작고,"습기와 직사광선을 피하여 실온에 보관하시고, 개봉 후에는 반드시 냉장 보관하십시오.",①면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음,이미와 이취가 없고 고유의 향미가 있는 흑갈색의 액상,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","1일 3회, 1회 2 g을 온수 또는 냉수에 타서 섭취하십시오.",20040015100186,제조일부터      2  년,"⑴ 성상: 이미와 이취가 없는 흑갈색의 액상 제품
(시험방법: 관능검사를 실시하여 성상 변화 여부 확인)
⑵ 진세노사이드 Rg1, Rb1 및 Rg3의 합: 표시량(3 mg/6 g)의 80% 이상
(시험방법: 건강기능식품공전 진세노사이드 Rg1, Rb1 및 Rg3)
⑶ 세균수(CFUs/g): 3,000  이하
(시험방법: 식품공전 제9. 일반시험법 3.7 일반세균)
⑷ 대장균군: 음성
(시험방법: 식품공전 제9. 일반시험법 3.5 대장균군)",(주)일화,
16,17,20170324,힘내,"습기가 적고 직사광선 및 고온다습한 곳을 피해 보관하시고, 어린이의 손에 닿지 않도록 주의하시기 바랍니다.","1) 그린커피빈추출물(개별인정 2014-31호)- 체지방감소에 도움을 줄 수 있음
2) 비타민C- 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요
3) 비타민B1- 탄수화물과 에너지 대사에 필요
4) 비타민B2- 체내 에너지 생성에 필요
5) 판토텐산- 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",연한녹색의 코팅정제,"- 특이체질, 알레르기 체질의 경우에는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인한 후 섭취하십시오. 
- 임산부와 수유기 여성, 유아, 어린이는 섭취에 주의
- 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음
- 용기 안의 방습제는 섭취하지 마십시오. 
- 유통기한이 경과된 제품은 섭취하지 마십시오.","1일 2회, 1회 1정씩 물과 함께 섭취하십시오.",200600200031078,제조일로부터 2년,"1) 성상 : 연한녹색의 코팅정제
2) 비타민C: 표시량(30mg/1,400mg) 80~150%
3) 비타민B1: 표시량(0.36mg/1,400mg) 80~180% 
4) 비타민B2: 표시량(0.42mg/1,400mg) 80~180%
5) 판토텐산: 표시량(1.5mg/1,400mg) 80~180%
6) Chlorogenic acid: 표시량(66.2mg/1,400mg) 80~120%
7) 납(mg/kg): 1.0 이하
8) 총비소(mg/kg): 1.0 이하
9) 카드뮴(mg/kg): 0.5 이하
10) 총수은(mg/kg): 0.5 이하
11) 오크라톡신A(ug/kg): 5.0 이하
12) 카페인(mg/kg): 20,000이하
13) 붕해시험  : 60분이내
14) 대장균군 : 음성",콜마비앤에이치(주)푸디팜사업부문,
17,18,20180105,'간'편함을 누리다 밀크씨슬 간 肝,"- 직사광선 및 고온다습한 곳을 피해 습기가 적고 서늘한 곳에 보관, 유통하십시오.- 개봉 후에는 공기의 노출을 최대한 차단하여 보관하십시오.","① 간 건강에 도움을 줄 수 있음

①탄수화물과 에너지 대사에 필요

①체내 에너지 생성에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①체내 에너지 생성에 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①유해산소로부터 세포를 보호하는데 필요

①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요","이미, 이취가 없고 고유의 향미가 있는 회황색의 제피정제","① 알레르기 반응이 나타나는 경우에는 섭취 중단 ② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의","1일 1회, 1회 1정을 물과 함께 섭취하십시오.",20120019007223,제조일로부터 24개월,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 회황색의 제피정제
② 실리마린(mg/900 mg) : 표시량(130)의 80~120%
③ 셀레늄(μg/900 mg) : 표시량(55)의 80~150%
④ 나이아신(mg NE/900 mg) : 표시량(15)의 80~150%
⑤ 아연(mg/900 mg) : 표시량(8.5)의 80~150%
⑥ 비타민A(μg RE/900 mg) : 표시량(700)의 80~150%
⑦ 판토텐산(mg/900 mg) : 표시량(5)의 80~180%
⑧ 비타민B6(mg/900 mg) : 표시량(3)의 80~150%
⑨ 비타민B1(mg/900 mg) : 표시량(2.4)의 80~180%
⑩ 비타민B2(mg/900 mg) : 표시량(2.8)의 80~180%
⑪ 헥산(mg/kg) : 5.0 이하
⑫ 납(mg/kg) : 1.0 이하
⑬ 카드뮴(mg/kg) : 0.5 이하
⑭ 총수은(mg/kg) : 0.5 이하
⑮ 총비소(mg/kg) : 1.0 이하
？ 대장균군 : 음성
？ 붕해시험 : 적합(60분 이내)",(주)한풍네이처팜,
18,19,20160519,(fine)파인실엠I,수분 및 열에 의해 영향을 받을 수 있으므로 직사광선을 피해 서늘한 곳에 보관하십시오. 어린이 손에 닿지 않는 곳에 보관하십시오.,"혈중 중성지질 개선 · 혈행 개선에 도움을 줄 수 있음

①유해산소로부터 세포를 보호하는데 필요,1) EPA 및 DHA 함유유지 : 혈중 중성지질 개선 · 혈행 개선에 도움을 줄 수 있음. 
2) 비타민 E : 유해산소로부터 세포를 보호하는데 필요.",미황색의 내용물을 함유한 투명색의 연질캡슐,,"1일 1회, 1회 2캡슐을 충분한 물과 함께 섭취하십시오. 1일 2회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",200400200021839,제조일로부터 2년.,"1) 성상 : 고유의 색택과 향미를 가지고 이미, 이취가 없어야 한다.
2) EPA와 DHA의 합 : 표시량(500mg/1100mg)의 80~120%
3) 비타민E : 표시량(3.3mgα-TE)/1100mg)의 80~150%
4) 납(mg/kg) : 3.0 이하
5) 카드뮴(mg/kg) : 1.0 이하
6) 총수은(mg/kg) : 0.5 이하
7) 대장균군 : 음성
8) 붕해시험 : 20분 이내",코스맥스바이오(주),
19,20,20160519,(fine)파인실엠Ⅱ,수분 및 열에 의해 품질에 영향을 받을 수 있으므로 직사광선을 피해 서늘한 곳에 보관하십시오.  어린이 손에 닿지 않는 곳에 보관하십시오.,"① 간 건강에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요,1) 밀크씨슬추출물 : 간 건강에 도움을 줄 수 있음.
2) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.",황색의 내용물을 함유한 적갈색의 경질캡슐.,"① 알레르기 반응이 나타나는 경우에는 섭취 중단 ② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의","1일 2회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.  1일 1회, 1회 2캡슐을 충분한 물과 함께 섭취하십시오.",200400200021840,제조일로부터 2년.,"1) 성상 : 고유의 색택과 향미를 가지고 이미, 이취가 없어야 한다.
2) 실리마린 : 표시량(130mg/900mg) 80~120%
3) 비타민C : 표시량(200mg/900mg)의 80~150%
4) 납(mg/kg) : 1.0 이하
5) 카드뮴(mg/kg) : 0.5 이하
6) 총수은(mg/kg) : 0.5 이하
7) 총비소(mg/kg) : 1.0 이하
8) 대장균군 : 음성
9) 붕해시험 : 20분 이내",코스맥스바이오(주),
20,21,20150522,(구) 눈에좋은 루테인+오메가3,"① 제품은 직사광선을 피하고 실온에서 보관 유통하십시오.
② 제품 개봉 후에는 인습되지 않게 밀봉하여 보관하십시오.","루테인 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌

EPA 및 DHA 함유 유지 혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음",적색의 점조성 내용물을 함유한 황색의 연질캡슐제,과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음,"1일 1회, 1회 2캡슐(1.2g)을 충분한 물과 함께 섭취.",20040020006811,제조일로부터 24개월,"(1) 성상 : 적색의 점조성 내용물을 함유한 황색의 연질캡슐제
(2) EPA+DHA : 표시량(530mg/1.2g)의 80%-120%
(3) 루테인 : 표시량(20mg/1.2g)의 80%-120%
(4) 납 : 1.0mg/kg 이하
(5) 비소 : 1.0mg/kg 이하
(6) 카드뮴 : 1.0mg/kg 이하
(7) 총수은 : 0.5mg/kg 이하
(8) 헥산 : 5.0mg/kg 이하
(9) 대장균군 : 음성 
(10) 붕해 : 20분 이내",(주)서흥,
21,22,20150522,(구) 무르핀,"① 제품은 직사광선을 피해 서늘한 곳에서 보관 유통하십시오.
② 제품 개봉 후에는 흡습되지 않게 밀봉하여 보관하십시오.",[MSM제품]① 관절 및 연골건강에 도움을 줄 수 있음,흐린 황갈색의 제피정제,"① 임산부 및 수유부는 섭취 전 의사와 상담하십시오.
② 특정 성분에 알레르기가 있는 분은 원료명을 확인 후 섭취하여 주십시오.
③ 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.
④ 섭취 시 위장장애, 소화불량 등의 증상이 있을 경우 섭취를 중단하고 의사와 상담하십시오.","1일 2회, 1회 2정(1.5 g)을 물과 함께 섭취하십시오.",20040020006948,제조일로부터 24개월,"1) 성상 :흐린 황갈색의 제피정제
2) 디메틸설폰(MSM) : 표시량(1,500 mg/3g)의 80~120%
3) 납(mg/kg) : 0.1 이하
4) 카드뮴(mg/kg) : 0.1 이하
5) 총수은(mg/kg) : 0.5 이하
6) 총비소(mg/kg) : 0.1 이하
7) 대장균군 : 음성 
8) 붕해 : 60분 이내",(주)서흥,
22,23,20160329,(구) 팻다운 톡,① 제품은 직사광선을 피해 서늘한 곳에 보관 유통하십시오.  ② 제품 개봉 후에는 흡습되지 않게 밀봉하여 보관하십시오.,"가르시니아캄보지아추출물 : 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌.
비타민C :  ① 결합조직 형성과 기능유지에 필요
               ② 철의 흡수에 필요
               ③ 유해산소로부터 세포를 보호하는데 필요
비타민B2 : 체내 에너지 생성에 필요
비타민B1 : 탄수화물과 에너지 대사에 필요",노란 하얀색의 분말,"① 임산부, 수유여성 및 어린이는 섭취에 주의하십시오.
② 특정 성분에 알레르기가 있으신 분은 원료명 확인 후 섭취하십시오.
③ 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","1일 2회, 1회 1포(2.7 g)를 섭취하십시오.",200400200061146,제조일부터 24개월,"(1) 성상 : 노란 하얀색의 분말
 (2) 총(-)-Hydroxycitric acid : 표시량(750 mg/5.4g)의 80~120% 
 (3) 비타민C : 표시량(98 mg/5.4g)의 80~150%
 (4) 비타민B2 : 표시량(1.4 mg/5.4g)의 80~180%
 (5) 비타민B1 : 표시량(0.8 mg/5.4g)의 80~180%
 (6) 납(mg/kg) : 1.0 이하
 (7) 카드뮴(mg/kg) : 0.5 이하
 (8) 총수은(mg/kg) : 0.4 이하
 (9) 총비소(mg/kg) : 1.0 이하
 (10) 대장균군 : 음성",(주)서흥,
23,24,20160325,(구)동아비타민C순(純),① 제품은 직사광선을 피해 서늘한 곳에 보관 유통하십시오.   ② 제품 개봉 후에는 흡습되지 않게 밀봉하여 보관하십시오.,"비타민C : ① 결합조직 형성과 기능유지에 필요
               ② 철의 흡수에 필요
               ③ 유해산소로부터 세포를 보호하는데 필요
아연 : ① 정상적인 면역기능에 필요,  ② 정상적인 세포분열에 필요",연한 분홍색의 제피정제,"① 임산부, 수유여성 및 어린이는 섭취에 주의하십시오.
② 특정 성분에 알레르기가 있으신 분은 원료명 확인 후 섭취하십시오.
③ 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","1일 1회, 1회 1정(1 g)을 충분한 물과 함께 섭취하십시오.",200400200061143,제조일부터 24개월,"1) 성상 : 연한 분홍색의 제피정제
  2) 비타민C : 표시량(500 mg/1g)의 80~150%
  3) 아연 : 표시량(8.5 mg/1g)의 80~150%
  4) 대장균군 : 음성
  5) 붕해 : 60분 이내",(주)서흥,
